iter	Passed	Remaining
909	16712	1652
910	16729	1634
911	16747	1615
912	16762	1597
913	16779	1578
914	16797	1560
915	16816	1542
916	16832	1523
917	16852	1505
918	16869	1486
919	16888	1468
920	16904	1450
921	16922	1431
922	16938	1413
923	16957	1394
924	16975	1376
925	16997	1358
926	17017	1340
927	17040	1322
928	17058	1303
929	17079	1285
930	17096	1267
931	17114	1248
932	17134	1230
933	17157	1212
934	17180	1194
935	17199	1176
936	17217	1157
937	17235	1139
938	17252	1120
939	17268	1102
940	17286	1083
941	17305	1065
942	17322	1047
943	17339	1028
944	17355	1010
945	17371	991
946	17388	973
947	17405	954
948	17421	936
949	17437	917
950	17454	899
951	17472	880
952	17487	862
953	17504	844
954	17520	825
955	17545	807
956	17564	789
957	17586	771
958	17633	753
959	17651	735
960	17674	717
961	17692	698
962	17709	680
963	17728	662
964	17750	643
965	17768	625
966	17789	607
967	17810	588
968	17827	570
969	17845	551
970	17862	533
971	17878	515
972	17897	496
973	17917	478
974	17935	459
975	17955	441
976	17973	423
977	17991	404
978	18008	386
979	18024	367
980	18040	349
981	18058	331
982	18074	312
983	18101	294
984	18118	275
985	18139	257
986	18158	239
987	18175	220
988	18191	202
989	18209	183
990	18227	165
991	18244	147
992	18261	128
993	18278	110
994	18295	91
995	18312	73
996	18329	55
997	18346	36
998	18366	18
999	18383	0
